FILTRO FILA,,,,,,,,,,,,,,,,,
1,lentil fried ball with yogurt sauce,,,,,,Costo por ración,"0,65 €",,Vegan Buddha bowls with yogurt chutney,,,,,,Costo por ración,"1,08 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Lentejas,Sin asignar,60,1500,Gr,"2,40",,,,Patatas dulce,Verdura,50,1250,Gr,"4,25",,
,Chile en polvo,Sin asignar,20,500,Gr,"3,57",,,,aceite oliva,Grasa,5,125,Gr,"0,49",,
,sal,Sin asignar,2,50,Ml,"0,02",,,,Chile en polvo,Sin asignar,2,50,Ml,"0,36",,
,Yogurt blanco,Lacteos,70,1750,Ml,"2,33",,,,Pimentón dulce,Sin asignar,3,75,Ml,"0,80",,
,comino molido,Sin asignar,15,375,Gr,"3,46",,,,jengibre,Verdura,2,50,Gr,"0,40",,
,pimienta negra,Sin asignar,3,75,Gr,"1,04",,,,Comino molido,Sin asignar,2,50,Gr,"0,46",,
,Chutney de tamarindo,No encontrado,10,250,GR,,,,,sal,Sin asignar,3,75,GR,"0,03",,
,Aceite girasol,Grasa,80,2000,GR,"3,48",,,,Garbanzo cocido,Proteina,150,3750,GR,"5,18",,
,,,,,GR,-,,,,Arroz Largo,H.Carbono,120,3000,GR,"4,05",,
,,,,,,-,,,,espinaca fresca,Verdura,20,500,,"2,07",,
,,,,,,-,,,,aguacate,Verdura,50,1250,,"5,75",,
,,,,,,-,Resumen nutricional,Pax,,Calabacín,Verdura,80,2000,,"3,20",Resumen nutricional,Pax
,,,,,,-,H.Carbono,0,,,,,,,-,H.Carbono,120
,,,,,,-,Proteina,0,,,,,,,-,Proteina,150
,,,,,,-,Verdura,0,,,,,,,-,Verdura,202
,,,,,,-,Total gr plato:,260,,,,,,,-,Total gr plato:,487
,,,,,,-,Costo por ración,"€0,65",,,,,,,-,Costo por ración,"€1,08"
,,,,,,-,Costo total,"€16,30",,,,,,,-,Costo total,"€27,03"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2,Chick pea coconut curry / rice,,,,,,Costo por ración,"1,33 €",,Vegetarian curry / rice,,,,,,Costo por ración,"1,12 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Garbanzos,Proteina,200,5000,Gr,"7,80",,,,Mantequilla,Lacteos,10,250,Gr,"2,25",,
,Leche de coco,Sin asignar,100,2500,Gr,"7,98",,,,berenjena,Verdura,50,1250,Gr,"2,44",,
,Tomate triturado,Sin asignar,50,1250,Ml,"1,53",,,,Carne soja,Proteina,15,375,Ml,"5,06",,
,Cebolla,Verdura,50,1250,Ml,"2,81",,,,Zanahoria,Verdura,30,750,Ml,"0,86",,
,Ajo Morado,Verdura,5,125,Gr,"0,92",,,,patatas,Verdura,50,1250,Gr,"1,64",,
,jengibre,Verdura,5,125,Gr,"1,01",,,,Cebolla,Verdura,20,500,Gr,"1,13",,
,Pasta curry verde,Sin asignar,10,250,GR,"1,50",,,,boniato,Verdura,20,500,GR,"1,70",,
,aceite oliva,Grasa,10,250,GR,"0,98",,,,Ajo morado,Verdura,5,125,GR,"0,92",,
,sal,Sin asignar,3,75,GR,"0,03",,,,jengibre,Verdura,3,75,GR,"0,60",,
,Arroz largo,H.Carbono,120,3000,GR,"4,05",,,,Curcuma,Sin asignar,1,25,,"0,16",,
,cilantro,Verdura,2,50,GR,"1,08",,,,Cardamomo,Sin asignar,1,25,,"2,00",,
,limon,Verdura,10,250,gr,"0,79",Resumen nutricional,Pax,,Garam Massala,Sin asignar,2,50,,"0,90",Resumen nutricional,Pax
,Brocoli,Verdura,25,625,,"1,72",H.Carbono,120,,Curry,Sin asignar,1,25,,"0,25",H.Carbono,0
,guisantes,Verdura,25,625,,"1,03",Proteina,200,,Comino molido,Sin asignar,1,25,,"0,23",Proteina,15
,,,,,,-,Verdura,122,,caldo vegetal,Sin asignar,2,50,,"0,35",Verdura,178
,,,,,,-,Total gr plato:,615,,Tomate Triturado,Sin asignar,50,1250,,"1,53",Total gr plato:,401
,,,,,,-,Costo por ración,"€1,33",,tomate daniela,,20,500,,"1,04",Costo por ración,"€1,12"
,,,,,,-,Costo total,"€33,22",,Arroz integral,,120,3000,,"4,95",Costo total,"€28,00"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
3,Ratatuille,,,,,,Costo por ración,"0,58 €",,Falafel kebaps with potatoes,,,,,,Costo por ración,"0,00 €"
,,,,Raciones,,"25,00",,,,,,,Raciones,,"25,00",,
,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,,,Ingredientes,,Gr porcion,Gramaje total,Unid,Costo unitario,,
,Berenjena,Verdura,55,1375,Gr,"2,68",,,,,,,,Gr,-,,
,Calabacín,Verdura,55,1375,Gr,"2,20",,,,,,,,Gr,-,,
,tomate daniela,Verdura,55,1375,gr,"2,85",,,,,,,,Ml,-,,
,cebolla,Verdura,15,375,gr,"0,84",,,,,,,,Ml,-,,
,pimiento rojo,Verdura,25,625,Gr,"1,69",,,,,,,,Gr,-,,
,Aceite Oliva,Grasa,15,375,Gr,"1,47",,,,,,,,Gr,-,,
,Sal,Sin asignar,3,75,GR,"0,03",,,,,,,,GR,-,,
,Pimienta negra,Sin asignar,3,75,GR,"1,04",,,,,,,,GR,-,,
,tomate frito,Sin asignar,60,1500,GR,"1,69",,,,,,,,GR,-,,
,Tomillo ,Especies y Aromaticas,2,50,,"0,00",,,,,,,,,-,,
,Romero,Especies y Aromaticas,2,50,,"0,00",,,,,,,,,-,,
,,,,,,-,Resumen nutricional,Pax,,,,,,,-,Resumen nutricional,Pax
,,,,,,-,H.Carbono,0,,,,,,,-,H.Carbono,0
,,,,,,-,Proteina,0,,,,,,,-,Proteina,0
,,,,,,-,Verdura,205,,,,,,,-,Verdura,0
,,,,,,-,Total gr plato:,290,,,,,,,-,Total gr plato:,0
,,,,,,-,Costo por ración,"€0,58",,,,,,,-,Costo por ración,"€0,00"
,,,,,,-,Costo total,"€14,49",,,,,,,-,Costo total,"€0,00"
,Elaboracion,,,,,,,,,Elaboracion,,,,,,,
,1,,,,,,,,,1,,,,,,,
,2,,,,,,,,,2,,,,,,,
,3,,,,,,,,,3,,,,,,,
,4,,,,,,,,,4,,,,,,,
,5,,,,,,,,,5,,,,,,,
,6,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4,Cous cous con verduras (vegetarian),,,,,,Costo por ración,"1,07 €",,Murgh Tara masala /Basmati rice(vegetarian),,,,,,Costo por ración,"1,28 €"
