,,,,Carniceria Samir,Star Cash&Carry,Chino centro,Chino cash&carry,Mercadona,Makro,,,,Presentacion,,
Categoria,Subcategoria,Producto,Cat. Nutricional,€/KG,€/KG,€/KG,€/KG,€/KG,€/KG,purchase_price,purchase_format_gr,€/gr,,Proveedor,Ultima actualización
Congelados,Pescado congelado,abadejo,Proteina,,,,,"€5,82","€4,39","€4,39",1.000,"€0,0044",,Makro,
Asiatico,varios,Aceite de sesamo,Grasa,,,"€11,90",,,,"€11,90",1.000,"€0,0119",,Chino centro,
Despensa,Despensa,Aceite girasol,Grasa,,,,,"€1,74",,"€1,74",1.000,"€0,0017",,Mercadona,25/8/22 0:00
Despensa,Especies,Aceite mostaza,Grasa,,"€5,80",,,,,"€5,80",1.000,"€0,0058",,Star Cash&Carry,
Despensa,Despensa,Aceite oliva,Grasa,,,,,"€3,91",,"€3,91",1.000,"€0,0039",,Mercadona,25/8/22 0:00
Despensa,Despensa,Aceitunas negras,Sin asignar,,,,,"€7,00",,"€7,00",1.000,"€0,0070",,Makro,
Despensa,Mexicano,Achiote,Sin asignar,,,,,,"€9,02","€9,02",1.000,"€0,0090",,Makro,
Frescos,Verduras,aguacate,Verdura,,,,,"€4,60",,"€4,60",1.000,"€0,0046",GR,Mercadona,
Congelados,Carne congelada,Aguja cerdo sin H,Proteina,,,,,-,"€4,35","€4,35",1.000,"€0,0044",,Makro,27-8
Congelados,Verduras congeladas,Ajetes,Verdura,,,,,"€7,33",-,"€7,33",1.000,"€0,0073",GR,Mercadona,27-8
Asiatico,varios,Ajinomoto,Sin asignar,,,,"€4,07",,,"€4,07",1.000,"€0,0041",,Chino cash&carry,
Frescos,Verduras,Ajo morado,Verdura,,,,,"€7,40","€7,38","€7,38",1.000,"€0,0074",GR,Makro,25/8/22
Frescos,Verduras,Albahaca,Verdura,,,,,"€76,50",,"€76,50",1.000,"€0,0765",Gr,Makro,
Congelados,Verduras congeladas,Alcachofas,Verdura,,,,,"€4,25",,"€4,25",1.000,"€0,0043",GR,Mercadona,
Despensa,Despensa,Alcaparras,Sin asignar,,,,,"€16,88",,"€16,88",1.000,"€0,0169",Gr,Makro,20/08/2025
Congelados,Carne congelada,Alitas de pollo,Proteina,"€4,50",,,,"€4,45",,"€4,45",1.000,"€0,0045",,Makro,27-8
Despensa,despensa,Almendra,Sin asignar,,,,,"€7,20",,"€7,20",1.000,"€0,0072",,Makro,20/08/2025
Despensa,Legumbres,Alubias rojas cocidas,Proteina,,,,,"€2,00","1,8","€1,80",1.000,"€0,0018",,Makro,
Despensa,Despensa,Anchoas,Sin asignar,,,,,"€23,56",,"€23,56",1.000,"€0,0236",Gr,Makro,20/08/2025
Congelados,Pescado congelado,Anillas a la romana,Proteina,,,,,"€7,40","€6,21","€6,21",1.000,"€0,0062",,Makro,
Despensa,Especies,Anis estrellado,Sin asignar,,"€24,50",,,,,"€24,50",1.000,"€0,0245",Gr,Star Cash&Carry,
Frescos,Verduras,apio,Verdura,,,,,"€2,00",,"€2,00",1.000,"€0,0020",GR,Makro,25/8/22
Congelados,Marisco congelado,Arreglo paella,Sin asignar,,,,,"€7,65","€7,54","€7,54",1.000,"€0,0075",,Makro,
Congelados,Pescado congelado,Arreglo paella y sopa,Proteina,,,,,"€6,04",,"€6,04",1.000,"€0,0060",,Mercadona,
Despensa,Despensa,Arroz Basmati,H.Carbono,,,,,"€2,20",,"€2,20",1.000,"€0,0022",,,
despensa,Pasta / Arroz,Arroz integral,H.Carbono,,,,,"€1,65",,"€1,65",1.000,"€0,0017",,,24/8/22
Despensa,Despensa,Arroz Largo,H.Carbono,,,,,"€1,35",,"€1,35",1.000,"€0,0014",,Mercadona,25/8/22 0:00
Despensa,Despensa,Arroz redondo,H.Carbono,,,,,"€1,30",,"€1,30",1.000,"€0,0013",,Mercadona,25/8/22 0:00
Despensa,Despensa,ATun  bolsa,Sin asignar,,,,,"€8,15",,"€8,15",1.000,"€0,0082",,Makro,
Congelados,Pescado congelado,Atun congelado,Proteina,,,,,"€13,10","€11,99","€11,99",1.000,"€0,0120",,Makro,
Despensa,Despensa,Atun Lata/oliva,Sin asignar,,,,,"€13,61",,"€13,61",1.000,"€0,0136",Gr,Makro,25/8/22 0:00
Despensa,Despensa,Azúcar,Sin asignar,,,,,"€1,00",,"€1,00",1.000,"€0,0010",,Makro,20/08/2025
Frescos,Carne,Babilla vaca,Proteina,,,,,,"€10,77","€10,77",1.000,"€0,0108",,Makro,24/8/22
Congelados,Pescado congelado,Bacalao Lomo,Proteina,,,,,"€13,49","€6,26","€6,26",1.000,"€0,0063",,Makro,
Congelados,Pescado congelado,Bacalao tacos,Proteina,,,,,"€9,95",,"€9,95",1.000,"€0,0100",,Mercadona,
Frescos,Carne,Bacon,Proteina,,,,,"€10,00","€6,71","€6,71",1.000,"€0,0067",,Makro,25/8/22
Frescos,Verduras,banana,Verdura,,,,,"€1,40",,"€1,40",1.000,"€0,0014",GR,Mercadona,25/8/22
Congelados,Verduras congeladas,Bastones boniato,Verdura,,,,,,"€3,62","€3,62",1.000,"€0,0036",GR,Makro,
Frescos,Verduras,Berenjena,Verdura,,,,,"€1,95",,"€1,95",1.000,"€0,0020",GR,Makro,25/8/22
Despensa,Especies,Biryani pasta,Sin asignar,,"€7,67",,,,,"€7,67",1.000,"€0,0077",,Star Cash&Carry,
Frescos,Verduras,boniato,Verdura,,,,,"€3,40",,"€3,40",1.000,"€0,0034",GR,Makro,25/8/22
Congelados,Pescado congelado,Boqueron,Proteina,,,,,"€3,50","€3,96","€3,50",1.000,"€0,0035",,Mercadona,
