Carniceria Samir	Star Cash&Carry	Chino centro	Chino cash&carry	Mercadona	Makro			Presentacion		
Categoria	Subcategoria	Producto	Cat. Nutricional	€/KG	€/KG	€/KG	€/KG	€/KG	€/KG	Precio mas bajo	€/gr		Proveedor	Ultima actualización
Asiatico	frescos	Tofu	Proteina				2,42 €			2,42 €	0,00 €		Chino cash&carry	
Asiatico	frescos	Col china	verdura				2,50 €			2,50 €	0,00 €		Chino cash&carry	28/7/25 23:27
Asiatico	Salsas	Salsa kimchi	Sin asignar				6,30 €			6,30 €	0,01 €	ML	Chino cash&carry	25/8/22 0:00
Asiatico	salsas	Salsa soja	Sin asignar				2,25 €			2,25 €	0,00 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Tobanjan	Sin asignar				7,68 €			7,68 €	0,01 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Salsa ostra	Sin asignar				5,65 €			5,65 €	0,01 €	ML	Chino cash&carry	
Asiatico	salsas	Gochujang	Sin asignar				5,61 €			5,61 €	0,01 €	ML	Chino cash&carry	20/08/2025
Asiatico	salsas	Tamarindo	Sin asignar				5,29 €			5,29 €	0,01 €	ML	Chino cash&carry	
Asiatico	salsas	Salsa pescado	Sin asignar				4,00 €			4,00 €	0,00 €	ML	Chino cash&carry	
Asiatico	salsas	Salsa soja picante	Sin asignar			7,47 €				7,47 €	0,01 €	ML	Chino centro	20/08/2025
Asiatico	salsas	Pasta curry verde	Sin asignar			7,56 €	6			6,00 €	0,01 €	GR	Chino centro	20/08/2025
Asiatico	salsas	Pasta curry rojo	Sin asignar			7,56 €	6,5			6,50 €	0,01 €	GR	Chino centro	20/08/2025
Asiatico	varios	Sesamo	Sin asignar						8,73 €	8,73 €	0,01 €	GR	Makro	25/8/22 0:00
Asiatico	varios	Brotes soja	Sin asignar							0,00 €	0,00 €		-	
Asiatico	varios	Ajinomoto	Sin asignar				4,07 €			4,07 €	0,00 €		Chino cash&carry	
Asiatico	varios	Leche de coco	Sin asignar				3,19 €			3,19 €	0,00 €		Chino cash&carry	
Asiatico	varios	Pasta cacahuete	Sin asignar				6,25 €			6,25 €	0,01 €		Chino cash&carry	
